name	coverage	copy_number
RND-4_FAMILY-8722#DNA/MULE-MuDR	44772	93
RND-1_FAMILY-413#DNA/MULE-MuDR	44723	94
RND-5_FAMILY-1478#Unknown	44689	72
RND-1_FAMILY-250#DNA/MULE-MuDR	44639	91
RND-3_FAMILY-2827#Unknown	44376	143
RND-1_FAMILY-139#DNA/MULE-MuDR	44336	21
RND-4_FAMILY-1187#Unknown	44302	14
RND-3_FAMILY-70#DNA/MULE-MuDR	44202	28
RND-1_FAMILY-423#Unknown	44130	384
RND-4_FAMILY-500#DNA/hAT-Tip100	44041	77
RND-3_FAMILY-562#Unknown	43994	529
RND-4_FAMILY-153#LTR/Copia	43917	13
RND-1_FAMILY-282#LTR/Gypsy	43756	55
RND-1_FAMILY-576#LINE/L1	43718	66
RND-1_FAMILY-397#Unknown	43483	62
RND-4_FAMILY-2641#DNA/PIF-Harbinger	43459	94
RND-3_FAMILY-2314#Unknown	43433	238
RND-4_FAMILY-22644#Satellite	43407	37
RND-1_FAMILY-212#Unknown	43402	75
RND-4_FAMILY-11120#DNA/MULE-MuDR	43320	53
RND-1_FAMILY-167#LTR/Copia	43126	90
RND-1_FAMILY-418#Unknown	43076	55
RND-4_FAMILY-3364#LINE/L1	43063	76
RND-1_FAMILY-51#DNA/PIF-Harbinger	42918	123
RND-1_FAMILY-45#LTR/Gypsy	42885	25
RND-1_FAMILY-505#LTR/Gypsy	42690	78
RND-4_FAMILY-167#Unknown	42649	57
RND-4_FAMILY-4776#LTR/Copia	42508	24
RND-4_FAMILY-682#Unknown	42444	60
RND-3_FAMILY-105#LTR/Copia	42345	37
RND-4_FAMILY-2720#DNA/hAT-Tip100	42177	57
RND-1_FAMILY-132#Unknown	42085	57
RND-1_FAMILY-80#Unknown	42075	148
RND-4_FAMILY-2288#LTR/Copia	42044	34
RND-1_FAMILY-270#LTR/Copia	41985	94
RND-4_FAMILY-372#Unknown	41958	160
RND-1_FAMILY-453#LTR/Copia	41847	46
RND-1_FAMILY-107#Unknown	41651	167
RND-1_FAMILY-4#Unknown	41294	175
RND-4_FAMILY-9034#Unknown	41280	54
RND-3_FAMILY-331#Unknown	41238	206
RND-1_FAMILY-175#LTR/Copia	41168	28
RND-1_FAMILY-346#Unknown	40964	51
RND-4_FAMILY-119#DNA/MULE-MuDR	40935	36
RND-1_FAMILY-156#Unknown	40639	52
RND-4_FAMILY-810#Unknown	40386	218
RND-1_FAMILY-617#LTR/Copia	40377	35
RND-4_FAMILY-5785#LINE/L1	40197	49
RND-1_FAMILY-150#Unknown	39996	127
RND-5_FAMILY-1654#Unknown	39945	199
RND-1_FAMILY-242#LTR/Gypsy	39864	39
RND-4_FAMILY-2767#Unknown	39645	111
RND-1_FAMILY-464#Unknown	39528	103
RND-4_FAMILY-1069#LTR/Gypsy	39513	6
RND-1_FAMILY-349#LTR/Gypsy	39498	52
RND-4_FAMILY-17876#Satellite	39422	35
RND-1_FAMILY-391#Unknown	39376	115
RND-4_FAMILY-3838#Unknown	39370	181
RND-1_FAMILY-377#RC/Helitron	39288	50
RND-1_FAMILY-600#Unknown	39278	112
RND-1_FAMILY-269#DNA/MULE-MuDR	39268	30
RND-4_FAMILY-1462#Unknown	39229	167
RND-1_FAMILY-249#Unknown	39131	133
RND-4_FAMILY-2302#LINE/L1	39078	111
RND-4_FAMILY-2902#LTR/Gypsy	39045	48
RND-1_FAMILY-208#Unknown	38974	119
RND-5_FAMILY-401#Unknown	38908	214
RND-4_FAMILY-10129#DNA/MULE-MuDR	38783	41
RND-1_FAMILY-205#Unknown	38752	104
RND-1_FAMILY-102#DNA/CMC-EnSpm	38653	32
RND-1_FAMILY-225#LTR/Gypsy	38607	31
RND-1_FAMILY-537#LTR/Gypsy	38581	87
RND-1_FAMILY-422#Unknown	38488	164
RND-5_FAMILY-2864#LINE/L1	38470	84
RND-1_FAMILY-96#LINE/L1	38468	43
RND-1_FAMILY-181#DNA/CMC-EnSpm	38438	7
RND-1_FAMILY-192#Unknown	38425	141
RND-1_FAMILY-338#Unknown	38018	125
RND-1_FAMILY-462#DNA/MULE-MuDR	37867	31
RND-4_FAMILY-5487#Unknown	37674	99
RND-1_FAMILY-367#Unknown	37603	129
RND-1_FAMILY-499#LTR/Copia	37595	36
RND-1_FAMILY-293#LTR/Gypsy	37523	25
RND-1_FAMILY-465#Satellite	37516	114
RND-4_FAMILY-4835#Unknown	37406	60
RND-5_FAMILY-2664#DNA/hAT-Tip100	37212	70
RND-1_FAMILY-564#LTR/Copia	37192	46
RND-1_FAMILY-557#LTR/Gypsy	37020	53
RND-4_FAMILY-8807#LTR/Caulimovirus	37011	54
RND-1_FAMILY-214#LTR/Copia	36904	45
RND-1_FAMILY-502#Unknown	36761	105
RND-1_FAMILY-471#LTR/Gypsy	36759	47
RND-1_FAMILY-155#DNA/MULE-MuDR	36640	34
RND-4_FAMILY-98#LINE/L1	36617	68
RND-1_FAMILY-469#DNA/MULE-MuDR	36579	23
RND-3_FAMILY-535#Unknown	36318	137
RND-5_FAMILY-1130#Unknown	36046	105
RND-1_FAMILY-604#Unknown	35939	101
RND-1_FAMILY-379#Unknown	35860	86
RND-1_FAMILY-43#Unknown	35854	104
RND-1_FAMILY-482#LTR/Copia	35411	26
RND-4_FAMILY-1765#Unknown	35176	106
RND-1_FAMILY-591#LTR/Copia	35054	37
RND-4_FAMILY-2398#Unknown	35026	57
RND-1_FAMILY-492#RC/Helitron	35025	48
RND-1_FAMILY-370#LTR/Gypsy	34998	56
RND-1_FAMILY-149#Unknown	34990	71
RND-4_FAMILY-9362#Unknown	34984	135
RND-1_FAMILY-511#LINE/L1	34929	38
RND-1_FAMILY-375#Unknown	34788	174
RND-4_FAMILY-3646#LTR/Gypsy	34706	61
RND-1_FAMILY-240#LTR/Copia	34633	34
RND-1_FAMILY-570#LTR/Gypsy	34532	40
RND-5_FAMILY-5683#Unknown	34504	146
RND-5_FAMILY-1601#DNA/MULE-MuDR	34359	92
RND-3_FAMILY-78#Unknown	34329	267
RND-1_FAMILY-395#LTR/Copia	34294	39
RND-3_FAMILY-137#Unknown	34219	204
RND-4_FAMILY-8317#Unknown	34165	75
RND-4_FAMILY-973#DNA/hAT-Ac	33944	79
HELITRONY1_CE#RC/Helitron	33926	58
RND-3_FAMILY-501#Unknown	33766	213
RND-1_FAMILY-490#Unknown	33722	55
RND-1_FAMILY-489#LTR/Gypsy	33718	8
RND-4_FAMILY-222#Unknown	33718	168
RND-4_FAMILY-379#LTR/Copia	33711	40
RND-4_FAMILY-1145#Unknown	33646	132
RND-4_FAMILY-1254#Unknown	33358	61
RND-5_FAMILY-1021#Unknown	33215	74
RND-4_FAMILY-7205#Unknown	33199	90
RND-4_FAMILY-4639#LTR/Copia	33125	40
RND-1_FAMILY-365#DNA/hAT-Tip100	33022	48
RND-1_FAMILY-151#LTR/Copia	32717	18
RND-4_FAMILY-1256#DNA/MULE-MuDR	32694	77
RND-1_FAMILY-467#DNA/hAT-Tip100	32674	78
RND-1_FAMILY-114#LTR/Gypsy	32569	48
RND-1_FAMILY-203#Unknown	32468	75
RND-1_FAMILY-160#LTR/Copia	32365	45
RND-1_FAMILY-65#DNA/CMC-EnSpm	32351	115
RND-1_FAMILY-142#Unknown	32339	124
RND-4_FAMILY-3736#Unknown	32269	84
RND-4_FAMILY-9423#RC/Helitron	32261	32
RND-4_FAMILY-1491#DNA/PIF-Harbinger	32220	59
RND-4_FAMILY-5182#Unknown	32084	77
RND-1_FAMILY-113#Unknown	31951	65
RND-5_FAMILY-805#Unknown	31614	66
RND-1_FAMILY-457#DNA/CMC-EnSpm	31371	36
RND-1_FAMILY-91#Unknown	31343	175
RND-1_FAMILY-129#DNA/CMC-EnSpm	31285	31
RND-1_FAMILY-434#Unknown	31172	169
RND-3_FAMILY-1181#Unknown	31054	154
RND-4_FAMILY-3433#Unknown	31019	55
RND-1_FAMILY-483#Unknown	30859	58
RND-1_FAMILY-614#Unknown	30815	101
RND-4_FAMILY-4623#Unknown	30726	104
RND-4_FAMILY-2914#DNA/CMC-EnSpm	30600	78
RND-3_FAMILY-623#Unknown	30474	126
RND-1_FAMILY-536#Unknown	30449	55
RND-1_FAMILY-341#DNA/MULE-MuDR	30274	25
RND-4_FAMILY-598#LTR/Gypsy	30269	34
RND-1_FAMILY-473#LTR/Gypsy	30265	31
RND-1_FAMILY-221#LTR/Copia	30094	15
RND-4_FAMILY-2421#Unknown	30022	76
RND-1_FAMILY-381#Unknown	29891	31
RND-1_FAMILY-251#Unknown	29715	82
RND-1_FAMILY-630#Unknown	29254	91
RND-1_FAMILY-362#Unknown	29147	179
RND-1_FAMILY-343#Unknown	29136	49
RND-1_FAMILY-425#LTR/Gypsy	29117	55
RND-5_FAMILY-1317#Unknown	28948	100
RND-4_FAMILY-836#Unknown	28879	123
RND-5_FAMILY-2687#Unknown	28817	56
RND-1_FAMILY-60#LTR/Gypsy	28794	14
RND-3_FAMILY-1#Unknown	28784	88
RND-4_FAMILY-4673#Unknown	28707	101
RND-1_FAMILY-510#LTR/Copia	28698	34
RND-1_FAMILY-441#Unknown	28675	101
RND-1_FAMILY-27#Unknown	28526	109
RND-1_FAMILY-374#Unknown	28494	79
RND-1_FAMILY-546#Unknown	28477	102
RND-1_FAMILY-416#Unknown	28363	19
RND-4_FAMILY-1244#LINE/L1	28341	121
RND-1_FAMILY-495#Unknown	28299	81
RND-4_FAMILY-1263#Unknown	28225	76
RND-4_FAMILY-3926#Unknown	28146	43
RND-5_FAMILY-1535#Unknown	28026	91
RND-1_FAMILY-247#Unknown	27957	115
RND-4_FAMILY-1678#Unknown	27891	172
RND-1_FAMILY-85#Unknown	27888	46
RND-1_FAMILY-219#DNA/CMC-EnSpm	27848	25
RND-4_FAMILY-4783#LTR/Copia	27780	10
RND-1_FAMILY-573#LTR/Gypsy	27739	36
RND-4_FAMILY-852#Satellite	27729	84
RND-5_FAMILY-1303#Unknown	27616	70
RND-5_FAMILY-1616#Unknown	27598	74
RND-4_FAMILY-3099#Unknown	27576	67
RND-4_FAMILY-1161#Unknown	27493	50
RND-1_FAMILY-545#Unknown	27419	86
RND-3_FAMILY-565#Unknown	27391	181
RND-4_FAMILY-1139#DNA/PIF-Harbinger	27377	21
RND-4_FAMILY-1543#LTR/Copia	27327	17
RND-4_FAMILY-1027#Unknown	27295	134
RND-1_FAMILY-470#DNA/hAT-Ac	27232	91
RND-1_FAMILY-318#LTR/Copia	27213	15
RND-1_FAMILY-426#LTR/Copia	27205	31
RND-1_FAMILY-559#Unknown	27187	70
RND-1_FAMILY-534#Unknown	27172	57
RND-4_FAMILY-668#Unknown	27138	105
RND-1_FAMILY-137#LTR/Copia	27078	24
RND-3_FAMILY-1122#Unknown	27030	44
RND-1_FAMILY-339#DNA/MULE-MuDR	26881	60
RND-4_FAMILY-12834#Unknown	26826	107
RND-1_FAMILY-561#DNA/PIF-Harbinger	26763	23
RND-1_FAMILY-415#LTR/Gypsy	26704	32
RND-1_FAMILY-215#Satellite	26692	78
RND-4_FAMILY-9863#DNA/MULE-MuDR	26529	45
RND-4_FAMILY-3432#Unknown	26394	36
RND-1_FAMILY-401#Unknown	26309	95
RND-1_FAMILY-246#LTR/Copia	26182	27
RND-1_FAMILY-184#LTR/Copia	25944	60
RND-1_FAMILY-321#Unknown	25932	120
RND-5_FAMILY-895#Unknown	25922	65
RND-3_FAMILY-513#Unknown	25919	49
RND-4_FAMILY-2900#Unknown	25880	78
RND-1_FAMILY-198#DNA/CMC-EnSpm	25854	36
RND-5_FAMILY-1678#LINE/L1	25799	108
RND-4_FAMILY-990#Unknown	25792	42
RND-1_FAMILY-196#Unknown	25767	76
RND-1_FAMILY-261#LTR/Gypsy	25660	38
RND-5_FAMILY-3757#Unknown	25643	53
RND-1_FAMILY-392#Unknown	25505	97
RND-4_FAMILY-881#Unknown	25481	32
RND-4_FAMILY-1635#LTR/Copia	25453	75
RND-1_FAMILY-373#DNA/CMC-EnSpm	25421	23
RND-1_FAMILY-320#DNA	25383	11
RND-3_FAMILY-5481#DNA/CMC-EnSpm	25357	24
RND-1_FAMILY-276#LTR/Copia	25105	27
RND-4_FAMILY-5599#LINE/RTE-BovB	25085	103
RND-4_FAMILY-16489#Unknown	25062	88
RND-1_FAMILY-116#LTR/Gypsy	25030	14
RND-5_FAMILY-406#Unknown	25018	134
RND-4_FAMILY-3285#Unknown	24913	49
RND-4_FAMILY-5200#Unknown	24824	50
RND-1_FAMILY-390#DNA/hAT-Tip100	24778	40
RND-5_FAMILY-5812#Unknown	24698	3
RND-4_FAMILY-3399#Unknown	24683	65
RND-4_FAMILY-1189#DNA/PIF-Harbinger	24648	45
RND-5_FAMILY-2340#Unknown	24524	43
RND-3_FAMILY-1015#Unknown	24491	51
RND-1_FAMILY-530#Unknown	24477	55
RND-5_FAMILY-5813#Unknown	24444	6
RND-4_FAMILY-6376#Unknown	24442	62
RND-1_FAMILY-89#DNA/MULE-MuDR	24416	33
RND-1_FAMILY-176#Unknown	24339	132
RND-4_FAMILY-8925#Unknown	24313	32
RND-1_FAMILY-299#Unknown	24059	93
RND-4_FAMILY-1858#Unknown	24029	69
RND-4_FAMILY-4123#DNA/PIF-Harbinger	24003	23
RND-4_FAMILY-2117#Unknown	23923	101
RND-5_FAMILY-9956#Unknown	23892	79
RND-4_FAMILY-8792#Satellite	23695	117
RND-1_FAMILY-615#LTR/ERV1	23628	48
RND-3_FAMILY-208#LTR/Caulimovirus	23468	17
RND-5_FAMILY-2119#Unknown	23375	74
RND-4_FAMILY-3905#LTR/Gypsy	23331	32
RND-4_FAMILY-552#LTR/Copia	23255	15
RND-1_FAMILY-314#LTR/Gypsy	22933	37
RND-1_FAMILY-440#Unknown	22930	51
RND-3_FAMILY-2300#DNA/PIF-Harbinger	22835	32
RND-4_FAMILY-4756#Unknown	22812	35
RND-4_FAMILY-88#Unknown	22674	56
RND-1_FAMILY-468#DNA/hAT-Ac	22165	38
RND-1_FAMILY-326#LTR/Gypsy	22140	21
RND-4_FAMILY-1166#LTR/Copia	22068	12
RND-4_FAMILY-1172#LINE/L1	21882	88
RND-1_FAMILY-393#Unknown	21638	75
RND-4_FAMILY-3479#Unknown	21620	61
RND-4_FAMILY-3440#DNA/MULE-MuDR	21578	32
RND-1_FAMILY-442#Unknown	21473	52
RND-4_FAMILY-396#DNA/hAT-Tip100	21411	23
RND-1_FAMILY-569#Unknown	21289	47
RND-1_FAMILY-628#Unknown	21243	93
RND-1_FAMILY-613#Unknown	20954	27
RND-1_FAMILY-623#Unknown	20942	70
RND-4_FAMILY-518#DNA/MULE-MuDR	20941	16
RND-1_FAMILY-592#Unknown	20835	80
RND-1_FAMILY-487#Unknown	20794	87
RND-5_FAMILY-617#Unknown	20557	125
RND-1_FAMILY-325#Unknown	20508	139
RND-4_FAMILY-8338#Unknown	20332	51
RND-1_FAMILY-620#Unknown	20239	88
RND-3_FAMILY-489#Unknown	20044	79
RND-1_FAMILY-624#DNA/MULE-MuDR	19810	47
RND-1_FAMILY-477#Unknown	19785	47
RND-1_FAMILY-430#Unknown	19738	43
RND-4_FAMILY-3764#Unknown	19724	63
RND-4_FAMILY-3215#Unknown	19621	32
RND-1_FAMILY-244#DNA/CMC-EnSpm	19585	66
RND-4_FAMILY-10107#Unknown	19578	98
RND-1_FAMILY-322#Unknown	19577	76
RND-4_FAMILY-385#LINE/L1	19516	41
RND-4_FAMILY-709#LINE/L1	19458	27
RND-4_FAMILY-8297#Unknown	19425	82
RND-4_FAMILY-1099#Unknown	19124	42
RND-5_FAMILY-140#Unknown	19008	70
RND-1_FAMILY-439#Unknown	18991	47
RND-5_FAMILY-1437#Unknown	18923	128
RND-1_FAMILY-280#LTR/Copia	18773	50
RND-4_FAMILY-939#Unknown	18746	80
RND-1_FAMILY-558#Unknown	18718	49
RND-1_FAMILY-16#DNA/CMC-EnSpm	18461	44
RND-1_FAMILY-50#Unknown	18413	72
RND-1_FAMILY-297#LTR/Copia	18369	16
RND-4_FAMILY-3102#Unknown	18332	63
RND-1_FAMILY-179#Unknown	18275	76
RND-1_FAMILY-229#DNA/CMC-EnSpm	18267	18
RND-4_FAMILY-1966#Unknown	18124	55
RND-1_FAMILY-414#DNA/MULE-MuDR	18080	65
RND-1_FAMILY-512#Unknown	18074	108
TE2716_SO2_FAM0788#LTR/Gypsy	17883	25
RND-1_FAMILY-406#Unknown	17874	99
RND-1_FAMILY-575#LTR/Caulimovirus	17861	17
RND-1_FAMILY-567#LTR/Copia	17806	24
RND-1_FAMILY-627#Unknown	17579	31
RND-1_FAMILY-507#Unknown	17540	24
RND-4_FAMILY-3566#Unknown	17526	20
RND-4_FAMILY-669#Unknown	17304	73
RND-1_FAMILY-419#Unknown	17167	55
RND-1_FAMILY-141#LTR/Gypsy	17104	39
RND-1_FAMILY-256#Unknown	16995	47
RND-1_FAMILY-112#Unknown	16980	91
RND-1_FAMILY-527#Unknown	16835	77
RND-1_FAMILY-140#DNA/MULE-MuDR	16736	25
RND-1_FAMILY-619#Unknown	16710	91
RND-4_FAMILY-10079#Unknown	16688	25
RND-4_FAMILY-1255#Unknown	16588	72
RND-4_FAMILY-2831#Unknown	16565	77
RND-1_FAMILY-432#LTR/Caulimovirus	16224	21
RND-3_FAMILY-715#Unknown	16212	104
RND-4_FAMILY-19093#Unknown	16128	73
RND-1_FAMILY-409#Unknown	16109	69
RND-1_FAMILY-301#LTR/Copia	16103	26
RND-4_FAMILY-1537#Unknown	16013	81
RND-1_FAMILY-315#Unknown	15983	80
RND-4_FAMILY-4259#Unknown	15958	74
RND-4_FAMILY-5047#Unknown	15707	105
RND-4_FAMILY-2282#Unknown	15681	72
RND-1_FAMILY-363#DNA/MULE-MuDR	15675	33
RND-3_FAMILY-1917#Unknown	15571	135
RND-4_FAMILY-1067#LTR/Gypsy	15537	24
RND-4_FAMILY-1182#Unknown	15501	64
RND-1_FAMILY-136#LTR/Copia	15423	14
RND-1_FAMILY-427#Unknown	15412	33
RND-4_FAMILY-9281#Unknown	15407	100
RND-4_FAMILY-1137#Satellite	15333	42
RND-4_FAMILY-3606#Unknown	15253	16
RND-1_FAMILY-323#RC/Helitron	15231	19
RND-1_FAMILY-330#Unknown	15124	21
RND-4_FAMILY-1824#Unknown	15002	80
RND-4_FAMILY-1430#Unknown	14937	81
RND-4_FAMILY-1112#Unknown	14911	40
RND-4_FAMILY-1755#Unknown	14904	77
RND-4_FAMILY-2501#Unknown	14762	65
RND-4_FAMILY-3799#LTR/Copia	14702	18
RND-5_FAMILY-2410#Unknown	14653	54
RND-1_FAMILY-612#Unknown	14615	94
RND-4_FAMILY-1909#Unknown	14592	119
RND-1_FAMILY-560#Unknown	14530	24
RND-4_FAMILY-680#Unknown	14526	37
RND-4_FAMILY-1366#Unknown	14500	32
RND-4_FAMILY-535#LTR/Gypsy	14442	20
RND-3_FAMILY-230#Unknown	14174	73
RND-4_FAMILY-1754#Unknown	14145	36
RND-4_FAMILY-2471#Unknown	14123	83
RND-1_FAMILY-327#LTR/Gypsy	14093	26
RND-1_FAMILY-101#LTR/Gypsy	13828	13
RND-1_FAMILY-443#RC/Helitron	13815	27
RND-4_FAMILY-1115#Unknown	13759	71
RND-1_FAMILY-145#Unknown	13678	14
RND-4_FAMILY-605#Unknown	13649	105
RND-1_FAMILY-248#Unknown	13486	91
RND-4_FAMILY-1116#Unknown	13459	77
RND-5_FAMILY-4903#DNA/PIF-Harbinger	13387	46
RND-1_FAMILY-587#LTR/Gypsy	13294	12
HELITRONY4_CE#RC/Helitron	13281	26
RND-4_FAMILY-1057#Unknown	13280	70
RND-1_FAMILY-528#Unknown	13266	25
RND-1_FAMILY-582#DNA/hAT-Tip100	13120	14
RND-4_FAMILY-17961#Unknown	12867	42
RND-1_FAMILY-603#Unknown	12861	32
RND-1_FAMILY-444#Unknown	12799	55
RND-4_FAMILY-6665#Unknown	12785	48
RND-1_FAMILY-0#Satellite	12769	23
RND-1_FAMILY-607#Unknown	12751	50
RND-4_FAMILY-11378#Unknown	12705	25
RND-5_FAMILY-5656#Unknown	12692	44
RND-4_FAMILY-4184#Unknown	12679	89
RND-1_FAMILY-386#LTR/ERV1	12479	29
RND-4_FAMILY-2310#Unknown	12429	24
RND-4_FAMILY-9656#Unknown	12388	11
RND-1_FAMILY-92#DNA/CMC-EnSpm	12384	5
RND-4_FAMILY-357#Unknown	12324	105
RND-4_FAMILY-7309#DNA/PIF-Harbinger	12302	35
RND-1_FAMILY-105#LTR/Gypsy	12291	4
RND-1_FAMILY-504#Unknown	12283	132
RND-4_FAMILY-17878#Unknown	12201	13
RND-1_FAMILY-193#Unknown	12193	55
RND-1_FAMILY-435#Unknown	12045	26
RND-1_FAMILY-474#Unknown	12001	81
RND-4_FAMILY-2600#Unknown	11958	66
RND-4_FAMILY-5636#LTR/Gypsy	11932	20
RND-1_FAMILY-429#Unknown	11850	51
RND-1_FAMILY-384#LTR/Gypsy	11790	11
RND-1_FAMILY-311#LTR/Gypsy	11789	28
RND-4_FAMILY-1332#LTR/Copia	11647	24
RND-4_FAMILY-7919#Unknown	11562	32
RND-1_FAMILY-187#DNA/MULE-MuDR	11435	41
RND-1_FAMILY-402#Unknown	11432	33
RND-4_FAMILY-823#Unknown	11395	36
RND-1_FAMILY-496#LTR/Copia	11319	24
RND-4_FAMILY-1092#LINE/L1	11293	68
RND-1_FAMILY-237#Unknown	11289	53
RND-4_FAMILY-3201#DNA/MULE-MuDR	11173	34
RND-1_FAMILY-173#LTR/Gypsy	11056	12
RND-5_FAMILY-2736#Unknown	10973	58
RND-4_FAMILY-769#Unknown	10838	49
RND-3_FAMILY-809#Satellite	10835	56
RND-1_FAMILY-302#Unknown	10788	28
RND-1_FAMILY-266#LTR/Copia	10649	32
RND-4_FAMILY-10120#LTR/Gypsy	10609	20
RND-1_FAMILY-226#Unknown	10578	86
RND-4_FAMILY-14374#Unknown	10490	31
RND-4_FAMILY-1538#Unknown	10311	55
RND-1_FAMILY-143#LTR/Gypsy	10271	8
RND-5_FAMILY-4535#Unknown	10134	43
RND-4_FAMILY-2434#DNA/hAT-Ac	10099	83
RND-4_FAMILY-7951#Unknown	10039	20
RND-1_FAMILY-336#LTR/Copia	9896	7
RND-1_FAMILY-539#Unknown	9885	33
RND-1_FAMILY-428#Unknown	9868	11
RND-1_FAMILY-520#LTR/Gypsy	9844	11
RND-1_FAMILY-255#RC/Helitron	9823	41
RND-1_FAMILY-52#Satellite	9744	26
RND-4_FAMILY-9652#LTR/Copia	9700	47
RND-4_FAMILY-1177#Unknown	9676	37
RND-1_FAMILY-197#Unknown	9618	36
RND-4_FAMILY-1249#Unknown	9476	37
RND-1_FAMILY-522#Unknown	9381	13
RND-4_FAMILY-10552#Unknown	9360	29
RND-4_FAMILY-1603#Unknown	9211	44
RND-4_FAMILY-1031#Unknown	9171	43
RND-1_FAMILY-562#Unknown	9108	96
RND-4_FAMILY-7068#Unknown	9081	59
RND-1_FAMILY-599#Unknown	9046	29
RND-4_FAMILY-684#Unknown	8984	34
RND-4_FAMILY-523#Unknown	8656	27
TE3294_SO2_FAM061#LTR/Gypsy	8576	77
RND-5_FAMILY-1161#Unknown	8532	52
RND-4_FAMILY-3472#Unknown	8509	55
RND-1_FAMILY-67#Unknown	8411	11
RND-1_FAMILY-586#DNA/hAT-Tip100	8373	14
RND-1_FAMILY-228#Unknown	8248	10
RND-4_FAMILY-1401#Unknown	8167	52
RND-1_FAMILY-476#LTR/Copia	8125	12
RND-1_FAMILY-389#Unknown	8062	57
RND-4_FAMILY-1884#Unknown	8015	47
RND-5_FAMILY-755#Unknown	8003	58
RND-4_FAMILY-3323#Unknown	7972	33
RND-1_FAMILY-451#DNA/MULE-MuDR	7970	4
RND-4_FAMILY-1693#Unknown	7937	62
RND-4_FAMILY-5303#Unknown	7862	37
RND-4_FAMILY-6046#Unknown	7849	37
RND-1_FAMILY-568#Unknown	7784	17
RND-4_FAMILY-8710#Unknown	7769	26
RND-4_FAMILY-2799#Unknown	7751	69
DNA8-25_DR#DNA	7708	171
PENELOPE-1_DR#LINE/Penelope	7640	112
RND-4_FAMILY-11231#Unknown	7612	19
RND-1_FAMILY-364#Satellite	7605	5
RND-5_FAMILY-7675#Unknown	7574	46
RND-1_FAMILY-549#LTR/Copia	7554	13
RND-4_FAMILY-2100#DNA/hAT-Tip100	7424	33
ACOL_GYPSY_ELE46#LTR/Gypsy	7311	95
RND-1_FAMILY-447#DNA/MULE-MuDR	7307	10
RND-1_FAMILY-356#Unknown	7294	42
RND-1_FAMILY-348#LTR/Copia	7259	24
RND-4_FAMILY-3374#LTR/Copia	7243	12
DNA2-5_DR#DNA/hAT-Ac	7202	87
RND-4_FAMILY-8129#Unknown	7191	40
RND-3_FAMILY-2708#Unknown	7187	51
RND-1_FAMILY-182#DNA/MULE-MuDR	7100	5
RND-4_FAMILY-1238#Unknown	7072	49
RND-1_FAMILY-436#LTR/Gypsy	7010	19
RND-4_FAMILY-5250#Unknown	6808	32
DNA9-3_DR#DNA/MULE-MuDR	6733	135
RND-4_FAMILY-545#Unknown	6691	39
RND-1_FAMILY-601#Unknown	6684	28
TRNA-3_DRE#Satellite	6677	99
RND-4_FAMILY-3691#Unknown	6606	42
CHLAMYS-4_CREI#PLE/Chlamys	6488	27
RHIROX-5.1803_INT#LTR/ERV1	6488	5
RND-1_FAMILY-594#Unknown	6485	16
RND-4_FAMILY-4653#LTR/Copia	6450	17
ACOL_JOCKEY_ELE1#Unknown	6391	48
RND-1_FAMILY-524#Unknown	6386	29
RND-4_FAMILY-782#Unknown	6379	56
RND-1_FAMILY-455#Unknown	6362	9
RND-4_FAMILY-1445#Unknown	6325	38
ENSPM-6N1_DR#DNA/CMC-EnSpm	6260	140
RND-4_FAMILY-2445#Unknown	6238	38
RND-4_FAMILY-6062#Unknown	6189	39
RND-1_FAMILY-385#Unknown	6179	31
MURFEA-1.336#RC/Helitron	6123	21
RND-4_FAMILY-1889#Unknown	6066	25
TGULTR5A-A_UCY#LTR/ERVL	5726	1
RND-1_FAMILY-498#LTR/Gypsy	5713	5
RND-3_FAMILY-1898#Unknown	5477	72
MERLIN-1_DR#DNA/Merlin	5313	105
CHLAMYS-1_BBRA#PLE/Chlamys	5225	59
RND-3_FAMILY-432#LTR/Copia	5197	13
HELITRON1_CE#RC/Helitron	5167	16
RND-1_FAMILY-288#RC/Helitron	5136	40
DNA-2-12_DR#DNA/CMC-EnSpm	5072	98
RND-1_FAMILY-284#Unknown	5070	67
ENSPM-N13_DR#DNA/CMC-EnSpm	4976	105
RND-4_FAMILY-2180#Unknown	4963	35
RND-4_FAMILY-1002#Unknown	4949	26
RND-1_FAMILY-431#Unknown	4894	79
RND-1_FAMILY-124#Satellite	4772	20
RND-1_FAMILY-625#LTR/Caulimovirus	4707	11
RND-4_FAMILY-370#Unknown	4586	37
RND-1_FAMILY-216#Unknown	4520	37
TE2348_SO2_FAM0041#LTR/Gypsy	4484	91
ERV1-7_DR-I#LTR/ERV1	4468	92
RND-4_FAMILY-17427#Unknown	4448	57
DADA-TL_DR#DNA/Dada	4385	106
RND-5_FAMILY-5367#Unknown	4375	15
RND-1_FAMILY-596#Unknown	4359	41
RND-4_FAMILY-1787#Unknown	4289	34
RND-1_FAMILY-357#LTR/Gypsy	4090	9
RND-1_FAMILY-220#Unknown	4085	11
ENSPM-N2_DR#DNA/CMC-EnSpm	4010	84
RND-1_FAMILY-598#Unknown	3995	26
MARINER-N3_DR#DNA/CMC-EnSpm	3959	81
P-1_DR#DNA/P	3895	82
RND-5_FAMILY-1757#LINE/L1	3887	24
RLTR17B_MM#LTR/ERVK	3833	50
HARBINGER-1_DR#DNA/PIF-Harbinger	3790	88
TE2408_SO2_FAM0471#LINE/RTE-BovB	3737	62
